player,course,previous total rounds,course experience,Player_initial_last,tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,tournament name,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Aaron Baddeley,"Corales Puntacana GC - Punta Cana, Dominican Republic",10,Knowledgeable,A. Baddeley,401353294,16,144,144,2,0,0.0,Corales Puntacana Resort & Club Championship,2022-03-27,3.7,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Baddeley,"Grand Reserve Country Club - Rio Grande, Puerto Rico",4,Novice,A. Baddeley,401353253,16,288,280,4,1,28.0,Puerto Rico Open,2022-03-06,3.7,2022,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Baddeley,"Pebble Beach Resort - Pebble Beach, CA",23,Experienced,A. Baddeley,401353235,16,215,222,3,1,0.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,CUT,-0.56,0.46,0.59,-2.19,-1.14,-2.85
Aaron Baddeley,"Silverado Resort - Napa, CA",20,Experienced,A. Baddeley,401353193,16,288,281,4,1,36.0,Fortinet Championship,2021-09-20,7.0,2022,0,T36,-0.22,0.9,0.51,-0.5,0.91,0.68
Aaron Baddeley,"TPC Potomac at Avenel Farm - Potomac, MD",4,Novice,A. Baddeley,401353228,16,140,158,2,0,0.0,Wells Fargo Championship,2022-05-08,9.0,2022,0,CUT,-2.01,-0.51,-1.56,-3.84,-5.91,-7.92
Aaron Baddeley,"TPC San Antonio - San Antonio, TX",20,Experienced,A. Baddeley,401353273,16,288,281,4,1,18.0,Valero Texas Open,2022-04-03,8.6,2022,0,T18,1.33,1.12,-0.55,-0.47,0.04,1.37
Aaron Wise,"Bay Hill - Orlando, FL",10,Knowledgeable,A. Wise,401353239,10577,288,290,4,1,17.0,Arnold Palmer Invitational Pres. by Mastercard,2022-03-06,12.0,2022,0,T17,-1.1,0.63,0.79,1.22,2.64,1.54
Aaron Wise,"Country Club of Jackson - Jackson, MS",14,Knowledgeable,A. Wise,401353194,10577,288,273,4,1,26.0,Sanderson Farms Championship,2021-10-03,7.0,2022,0,T26,-0.06,1.44,-0.62,0.7,1.52,1.46
Aaron Wise,"El Camaleon GC - Quintana Roo, Mexico",16,Experienced,A. Wise,401353200,10577,284,271,4,1,15.0,Mayakoba Golf Classic,2021-11-07,7.2,2022,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wise,"Harbour Town Golf Links - Hilton Head Island, SC",4,Novice,A. Wise,401353231,10577,284,276,4,1,21.0,RBC Heritage,2022-04-17,8.0,2022,0,T21,0.66,0.48,-0.53,0.84,0.79,1.45
Aaron Wise,"Innisbrook - Palm Harbor, FL",4,Novice,A. Wise,401353255,10577,142,141,2,0,0.0,Valspar Championship,2022-03-20,7.8,2022,0,CUT,-0.92,-0.96,0.86,0.73,0.63,-0.29
Aaron Wise,"Memorial Park GC - Houston, TX",4,Novice,A. Wise,401353201,10577,284,279,4,1,26.0,Houston Open,2021-11-14,7.5,2022,0,T26,0.23,-0.61,0.89,0.59,0.86,1.1
Aaron Wise,"Muirfield Village Golf Club - Dublin, OH",10,Knowledgeable,A. Wise,401353224,10577,288,279,4,1,2.0,The Memorial Tournament pres. by Nationwide,2022-06-05,12.0,2022,0,2,1.16,0.05,1.96,0.18,2.19,3.35
Aaron Wise,"PGA National - Palm Beach Gardens, FL",12,Knowledgeable,A. Wise,401353238,10577,140,143,2,0,0.0,The Honda Classic,2022-02-27,8.0,2022,0,CUT,0.05,0.31,-1.42,0.99,-0.12,-0.08
Aaron Wise,"Riviera Country Club - Pacific Palisades, CA",6,Knowledgeable,A. Wise,401353237,10577,284,284,4,1,67.0,The Genesis Invitational,2022-02-20,12.0,2022,0,T67,-0.76,-0.56,0.69,0.02,0.15,-0.61
Aaron Wise,"TPC Craig Ranch - McKinney, TX",4,Novice,A. Wise,401353227,10577,288,275,4,1,51.0,AT&T Byron Nelson,2022-05-15,9.1,2022,0,T51,-0.88,0.34,0.62,0.21,1.16,0.28
Aaron Wise,"TPC Sawgrass - Ponte Vedra Beach, FL",6,Knowledgeable,A. Wise,401353254,10577,288,288,4,1,50.0,The Players Championship,2022-03-13,20.0,2022,0,T50,-1.26,-0.19,1.36,0.42,1.6,0.34
Aaron Wise,"TPC Scottsdale - Scottsdale, AZ",6,Knowledgeable,A. Wise,401353236,10577,142,147,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,0.28,-0.68,-1.81,-0.87,-3.36,-3.08
Aaron Wise,"TPC Summerlin - Las Vegas, NV",16,Experienced,A. Wise,401353195,10577,284,267,4,1,8.0,Shriners Hospital for Children Open,2021-10-10,7.0,2022,0,T8,0.46,0.57,0.83,0.39,1.79,2.25
Aaron Wise,"Torrey Pines North - La Jolla, CA",8,Knowledgeable,A. Wise,401353234,10577,143,142,2,0,0.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,CUT,0.86,-0.99,-0.59,-1.05,-2.62,0.17
Abraham Ancer,"Augusta National Golf Club - Augusta, GA",8,Knowledgeable,A. Ancer,401353232,9261,144,151,2,0,0.0,Masters Tournament,2022-04-10,15.0,2022,0,CUT,2.72,-2.87,-1.39,0.25,-4.0,-1.28
Abraham Ancer,"Colonial - Ft. Worth, TX",16,Experienced,A. Ancer,401353225,9261,140,142,2,0,0.0,Charles Schwab Challenge,2022-05-29,8.4,2022,0,CUT,-1.17,0.58,-0.36,0.24,0.47,-0.7
Abraham Ancer,"El Camaleon GC - Quintana Roo, Mexico",22,Experienced,A. Ancer,401353200,9261,284,269,4,1,7.0,Mayakoba Golf Classic,2021-11-07,7.2,2022,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham Ancer,"Innisbrook - Palm Harbor, FL",4,Novice,A. Ancer,401353255,9261,142,142,2,0,0.0,Valspar Championship,2022-03-20,7.8,2022,0,CUT,0.29,-0.73,-0.57,0.22,-1.08,-0.8
Abraham Ancer,"Kapalua Resort - Kapalua, HI",4,Novice,A. Ancer,401353203,9261,292,282,4,1,35.0,Sentry Tournament of Champions,2022-01-09,8.2,2022,1,T35,-0.69,-0.53,-0.66,-0.4,-1.59,-2.28
Abraham Ancer,"La Quinta CC - La Quinta, CA",19,Experienced,A. Ancer,401353233,9261,288,278,4,1,40.0,The American Express,2022-01-23,7.6,2022,0,T40,-0.99,-0.23,0.26,0.76,0.79,0.74
Abraham Ancer,"Muirfield Village Golf Club - Dublin, OH",12,Knowledgeable,A. Ancer,401353224,9261,288,289,4,1,32.0,The Memorial Tournament pres. by Nationwide,2022-06-05,12.0,2022,0,T32,0.2,-0.13,-0.08,0.86,0.65,0.85
Abraham Ancer,"Riviera Country Club - Pacific Palisades, CA",14,Knowledgeable,A. Ancer,401353237,9261,284,280,4,1,39.0,The Genesis Invitational,2022-02-20,12.0,2022,0,T39,0.85,-0.19,0.23,-0.49,-0.46,0.39
Abraham Ancer,"TPC Potomac at Avenel Farm - Potomac, MD",4,Novice,A. Ancer,401353228,9261,280,289,4,1,56.0,Wells Fargo Championship,2022-05-08,9.0,2022,0,T56,-0.23,-0.29,-0.44,0.46,-0.27,-0.49
Abraham Ancer,"TPC Sawgrass - Ponte Vedra Beach, FL",8,Knowledgeable,A. Ancer,401353254,9261,288,285,4,1,33.0,The Players Championship,2022-03-13,20.0,2022,0,T33,0.16,0.04,0.7,0.2,0.94,1.09
Abraham Ancer,"TPC Scottsdale - Scottsdale, AZ",2,Novice,A. Ancer,401353236,9261,284,280,4,1,43.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,T43,-0.2,-0.74,-0.21,1.37,0.42,0.23
Abraham Ancer,"TPC Summerlin - Las Vegas, NV",14,Knowledgeable,A. Ancer,401353195,9261,142,144,2,0,0.0,Shriners Hospital for Children Open,2021-10-10,7.0,2022,0,CUT,-0.74,-0.42,-3.08,1.03,-2.48,-3.22
Abraham Ancer,"Waialae CC - Honolulu, HI",12,Knowledgeable,A. Ancer,401353204,9261,140,137,2,0,0.0,Sony Open in Hawaii,2022-01-16,7.5,2022,0,CUT,-1.25,0.14,0.51,0.23,0.88,-0.37
Adam Hadwin,"Country Club of Jackson - Jackson, MS",4,Novice,A. Hadwin,401353194,5548,288,278,4,1,45.0,Sanderson Farms Championship,2021-10-03,7.0,2022,0,T45,0.53,0.03,0.11,-0.46,-0.32,0.21
Adam Hadwin,"El Camaleon GC - Quintana Roo, Mexico",14,Knowledgeable,A. Hadwin,401353200,5548,284,277,4,1,56.0,Mayakoba Golf Classic,2021-11-07,7.2,2022,0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Hadwin,"Harbour Town Golf Links - Hilton Head Island, SC",20,Experienced,A. Hadwin,401353231,5548,284,277,4,1,26.0,RBC Heritage,2022-04-17,8.0,2022,0,T26,-0.06,0.41,0.87,-0.03,1.25,1.2
Adam Hadwin,"Innisbrook - Palm Harbor, FL",16,Experienced,A. Hadwin,401353255,5548,284,272,4,1,7.0,Valspar Championship,2022-03-20,7.8,2022,0,T7,0.39,0.61,0.81,0.43,1.86,2.25
Adam Hadwin,"La Quinta CC - La Quinta, CA",22,Experienced,A. Hadwin,401353233,5548,288,276,4,1,25.0,The American Express,2022-01-23,7.6,2022,0,T25,1.39,-0.19,0.61,0.79,1.21,0.81
Adam Hadwin,"Muirfield Village Golf Club - Dublin, OH",26,Experienced,A. Hadwin,401353224,5548,288,286,4,1,18.0,The Memorial Tournament pres. by Nationwide,2022-06-05,12.0,2022,0,T18,0.36,0.75,0.31,0.18,1.24,1.6
Adam Hadwin,"Pebble Beach Resort - Pebble Beach, CA",11,Knowledgeable,A. Hadwin,401353235,5548,287,277,4,1,16.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,T16,-0.98,0.67,1.76,1.02,3.46,2.02
Adam Hadwin,"Riviera Country Club - Pacific Palisades, CA",28,Experienced,A. Hadwin,401353237,5548,142,146,2,0,0.0,The Genesis Invitational,2022-02-20,12.0,2022,0,CUT,-1.59,0.6,-1.29,0.0,-0.69,-2.29
Adam Hadwin,"Sea Island Resort - Sea Island, GA",8,Knowledgeable,A. Hadwin,401353202,5548,282,278,4,1,51.0,The RSM Classic,2021-11-21,7.2,2022,0,T51,0.63,0.08,-0.71,-0.43,-1.07,0.09
Adam Hadwin,"Silverado Resort - Napa, CA",12,Knowledgeable,A. Hadwin,401353193,5548,144,143,2,0,0.0,Fortinet Championship,2021-09-20,7.0,2022,0,CUT,-0.04,0.95,-0.33,-0.86,-0.24,-0.28
Adam Hadwin,"TPC San Antonio - San Antonio, TX",10,Knowledgeable,A. Hadwin,401353273,5548,288,278,4,1,4.0,Valero Texas Open,2022-04-03,8.6,2022,0,T4,-0.29,0.68,1.07,0.71,2.46,2.17
Adam Hadwin,"TPC Sawgrass - Ponte Vedra Beach, FL",20,Experienced,A. Hadwin,401353254,5548,288,281,4,1,9.0,The Players Championship,2022-03-13,20.0,2022,0,T9,1.43,-0.11,1.04,-0.27,0.67,2.09
Adam Hadwin,"TPC Scottsdale - Scottsdale, AZ",26,Experienced,A. Hadwin,401353236,5548,284,276,4,1,26.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,T26,0.28,0.3,0.93,-0.28,0.95,1.23
Adam Hadwin,"TPC Summerlin - Las Vegas, NV",18,Experienced,A. Hadwin,401353195,5548,284,266,4,1,6.0,Shriners Hospital for Children Open,2021-10-10,7.0,2022,0,T6,0.89,0.55,1.29,-0.22,1.61,2.5
Adam Hadwin,"Torrey Pines North - La Jolla, CA",20,Experienced,A. Hadwin,401353234,5548,143,148,2,0,0.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,CUT,-1.75,-0.1,1.02,-0.93,0.0,-2.83
Adam Long,"Accordia Golf Narashino CC - Chiba, Japan",4,Novice,A. Long,401353197,6015,280,279,4,1,25.0,The ZOZO Championship,2021-10-24,9.95,2022,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Long,"Bay Hill - Orlando, FL",10,Knowledgeable,A. Long,401353239,6015,288,293,4,1,32.0,Arnold Palmer Invitational Pres. by Mastercard,2022-03-06,12.0,2022,0,T32,1.03,0.06,-0.61,0.31,-0.23,0.8
Adam Long,"Colonial - Ft. Worth, TX",10,Knowledgeable,A. Long,401353225,6015,280,281,4,1,35.0,Charles Schwab Challenge,2022-05-29,8.4,2022,0,T35,-0.58,0.04,1.49,-0.33,1.2,0.62
Adam Long,"Country Club of Jackson - Jackson, MS",8,Knowledgeable,A. Long,401353194,6015,288,274,4,1,29.0,Sanderson Farms Championship,2021-10-03,7.0,2022,0,T29,1.46,-0.04,0.4,-0.61,-0.25,1.21
Adam Long,"El Camaleon GC - Quintana Roo, Mexico",8,Knowledgeable,A. Long,401353200,6015,284,272,4,1,22.0,Mayakoba Golf Classic,2021-11-07,7.2,2022,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Long,"Harbour Town Golf Links - Hilton Head Island, SC",6,Knowledgeable,A. Long,401353231,6015,284,275,4,1,12.0,RBC Heritage,2022-04-17,8.0,2022,0,T12,0.92,0.19,-0.03,0.62,0.78,1.7
Adam Long,"La Quinta CC - La Quinta, CA",11,Knowledgeable,A. Long,401353233,6015,216,211,3,1,0.0,The American Express,2022-01-23,7.6,2022,0,CUT,-0.46,-0.2,-0.85,-0.2,-1.25,-0.89
Adam Long,"Memorial Park GC - Houston, TX",4,Novice,A. Long,401353201,6015,284,276,4,1,11.0,Houston Open,2021-11-14,7.5,2022,0,T11,0.57,0.68,0.78,-0.18,1.28,1.85
Adam Long,"Muirfield Village Golf Club - Dublin, OH",12,Knowledgeable,A. Long,401353224,6015,144,151,2,0,0.0,The Memorial Tournament pres. by Nationwide,2022-06-05,12.0,2022,0,CUT,-1.46,-1.86,-0.02,0.8,-1.08,-2.54
Adam Long,"Riviera Country Club - Pacific Palisades, CA",6,Knowledgeable,A. Long,401353237,6015,284,290,4,1,75.0,The Genesis Invitational,2022-02-20,12.0,2022,0,75,-0.19,0.01,-1.18,-0.76,-1.92,-2.11
Adam Long,"Sea Island Resort - Sea Island, GA",10,Knowledgeable,A. Long,401353202,6015,282,271,4,1,16.0,The RSM Classic,2021-11-21,7.2,2022,0,T16,2.41,-0.53,-0.37,0.38,-0.52,1.84
Adam Long,"Silverado Resort - Napa, CA",8,Knowledgeable,A. Long,401353193,6015,144,142,2,0,0.0,Fortinet Championship,2021-09-20,7.0,2022,0,CUT,0.82,-0.12,-0.4,-0.08,-0.61,0.22
Adam Long,"TPC San Antonio - San Antonio, TX",4,Novice,A. Long,401353273,6015,288,283,4,1,35.0,Valero Texas Open,2022-04-03,8.6,2022,0,T35,-0.14,-0.09,0.52,0.62,1.05,0.92
Adam Long,"TPC Sawgrass - Ponte Vedra Beach, FL",6,Knowledgeable,A. Long,401353254,6015,288,287,4,1,46.0,The Players Championship,2022-03-13,20.0,2022,0,T46,0.37,0.15,-0.61,0.67,0.22,0.59
Adam Long,"TPC Scottsdale - Scottsdale, AZ",8,Knowledgeable,A. Long,401353236,6015,142,141,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,-1.26,0.11,0.8,0.26,1.18,-0.08
Adam Long,"Torrey Pines North - La Jolla, CA",2,Novice,A. Long,401353234,6015,285,287,4,1,65.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,T65,0.52,0.23,-0.91,-0.44,-1.13,-0.6
Adam Long,"Waialae CC - Honolulu, HI",4,Novice,A. Long,401353204,6015,140,137,2,0,0.0,Sony Open in Hawaii,2022-01-16,7.5,2022,0,CUT,-0.79,0.36,0.13,-0.07,0.41,-0.37
Adam Schenk,"Accordia Golf Narashino CC - Chiba, Japan",4,Novice,A. Schenk,401353197,10372,280,280,4,1,28.0,The ZOZO Championship,2021-10-24,9.95,2022,1,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Schenk,"Bay Hill - Orlando, FL",4,Novice,A. Schenk,401353239,10372,288,295,4,1,42.0,Arnold Palmer Invitational Pres. by Mastercard,2022-03-06,12.0,2022,0,T42,-0.77,1.24,0.0,-0.18,1.06,0.29
Adam Schenk,"Colonial - Ft. Worth, TX",12,Knowledgeable,A. Schenk,401353225,10372,140,142,2,0,0.0,Charles Schwab Challenge,2022-05-29,8.4,2022,0,CUT,0.62,0.17,-1.5,0.01,-1.32,-0.7
Adam Schenk,"Corales Puntacana GC - Punta Cana, Dominican Republic",16,Experienced,A. Schenk,401353294,10372,288,275,4,1,7.0,Corales Puntacana Resort & Club Championship,2022-03-27,3.7,2022,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Schenk,"Country Club of Jackson - Jackson, MS",16,Experienced,A. Schenk,401353194,10372,144,140,2,0,0.0,Sanderson Farms Championship,2021-10-03,7.0,2022,0,CUT,0.74,-0.68,0.4,-0.31,-0.59,0.16
Adam Schenk,"El Camaleon GC - Quintana Roo, Mexico",12,Knowledgeable,A. Schenk,401353200,10372,142,143,2,0,0.0,Mayakoba Golf Classic,2021-11-07,7.2,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Schenk,"Harbour Town Golf Links - Hilton Head Island, SC",8,Knowledgeable,A. Schenk,401353231,10372,142,150,2,0,0.0,RBC Heritage,2022-04-17,8.0,2022,0,CUT,-1.36,-0.9,-1.32,0.02,-2.2,-3.56
Adam Schenk,"Innisbrook - Palm Harbor, FL",6,Knowledgeable,A. Schenk,401353255,10372,142,147,2,0,0.0,Valspar Championship,2022-03-20,7.8,2022,0,CUT,-1.51,-1.13,-0.01,-0.65,-1.78,-3.29
Adam Schenk,"La Quinta CC - La Quinta, CA",15,Knowledgeable,A. Schenk,401353233,10372,216,212,3,1,0.0,The American Express,2022-01-23,7.6,2022,0,CUT,2.87,-1.84,0.67,0.99,-0.18,-0.65
Adam Schenk,"Memorial Park GC - Houston, TX",2,Novice,A. Schenk,401353201,10372,284,280,4,1,29.0,Houston Open,2021-11-14,7.5,2022,0,T29,0.57,-0.14,0.51,-0.1,0.28,0.85
Adam Schenk,"Muirfield Village Golf Club - Dublin, OH",8,Knowledgeable,A. Schenk,401353224,10372,288,287,4,1,26.0,The Memorial Tournament pres. by Nationwide,2022-06-05,12.0,2022,0,T26,-0.96,-0.01,1.84,0.48,2.31,1.35
Adam Schenk,"PGA National - Palm Beach Gardens, FL",14,Knowledgeable,A. Schenk,401353238,10372,140,144,2,0,0.0,The Honda Classic,2022-02-27,8.0,2022,0,CUT,0.28,-0.36,0.53,-1.02,-0.86,-0.58
Adam Schenk,"Riviera Country Club - Pacific Palisades, CA",10,Knowledgeable,A. Schenk,401353237,10372,142,145,2,0,0.0,The Genesis Invitational,2022-02-20,12.0,2022,0,CUT,0.49,-0.74,-1.35,-0.19,-2.28,-1.78
Adam Schenk,"Silverado Resort - Napa, CA",12,Knowledgeable,A. Schenk,401353193,10372,288,284,4,1,51.0,Fortinet Championship,2021-09-20,7.0,2022,0,T51,-0.07,-1.11,0.48,0.63,0.0,-0.07
Adam Schenk,"TPC Craig Ranch - McKinney, TX",4,Novice,A. Schenk,401353227,10372,288,281,4,1,79.0,AT&T Byron Nelson,2022-05-15,9.1,2022,0,T79,0.08,-0.58,-0.59,-0.13,-1.3,-1.22
Adam Schenk,"TPC Potomac at Avenel Farm - Potomac, MD",4,Novice,A. Schenk,401353228,10372,280,278,4,1,9.0,Wells Fargo Championship,2022-05-08,9.0,2022,0,T9,0.53,0.46,0.95,0.32,1.74,2.26
Adam Schenk,"TPC San Antonio - San Antonio, TX",10,Knowledgeable,A. Schenk,401353273,10372,144,144,2,0,0.0,Valero Texas Open,2022-04-03,8.6,2022,0,CUT,-0.61,0.08,0.44,-0.02,0.5,-0.11
Adam Schenk,"TPC Sawgrass - Ponte Vedra Beach, FL",2,Novice,A. Schenk,401353254,10372,144,151,2,0,0.0,The Players Championship,2022-03-13,20.0,2022,0,CUT,0.41,-1.42,-0.89,-0.42,-2.73,-2.32
Adam Schenk,"TPC Scottsdale - Scottsdale, AZ",8,Knowledgeable,A. Schenk,401353236,10372,142,156,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,-2.25,-2.48,-1.82,-1.03,-5.33,-7.58
Adam Schenk,"TPC Summerlin - Las Vegas, NV",14,Knowledgeable,A. Schenk,401353195,10372,284,265,4,1,3.0,Shriners Hospital for Children Open,2021-10-10,7.0,2022,0,T3,2.16,-0.36,1.23,-0.27,0.59,2.75
Adam Schenk,"Torrey Pines North - La Jolla, CA",8,Knowledgeable,A. Schenk,401353234,10372,285,284,4,1,56.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,T56,0.76,-0.67,-1.73,-0.3,-2.7,0.15
Adam Schenk,"Waialae CC - Honolulu, HI",10,Knowledgeable,A. Schenk,401353204,10372,140,140,2,0,0.0,Sony Open in Hawaii,2022-01-16,7.5,2022,0,CUT,-0.92,-0.21,0.12,-0.87,-0.96,-1.87
Adam Scott,"Augusta National Golf Club - Augusta, GA",28,Experienced,A. Scott,401353232,388,288,302,4,1,48.0,Masters Tournament,2022-04-10,15.0,2022,0,T48,-0.11,-0.63,-0.6,-0.31,-1.54,-1.65
Adam Scott,"Bay Hill - Orlando, FL",10,Knowledgeable,A. Scott,401353239,388,288,292,4,1,26.0,Arnold Palmer Invitational Pres. by Mastercard,2022-03-06,12.0,2022,0,T26,1.62,-0.08,-1.15,0.65,-0.57,1.04
